Name,Seed,Round
UCLA,1,1
UC San Diego,16,0
Southern,16,0
Richmond,8,1
Georgia Tech,9,1
Ole Miss,5,1
Ball State,12,1
Baylor,4,1
Grand Canyon,13,1
Florida St,6,1
George Mason,11,1
LSU,3,1
San Diego St,14,1
Michigan St,7,1
Harvard,10,1
NC State,2,1
Vermont,15,1
USC,1,1
UNC Greensboro,16,1
California,8,1
Mississippi St,9,1
Kansas St,5,1
Fairfield,12,1
Kentucky,4,1
Liberty,13,1
Iowa,6,1
Murray St,11,1
Oklahoma,3,1
FGCU,14,1
Oklahoma St,7,1
S Dakota St,10,1
Uconn,2,1
Arkansas St,15,1
South Carolina,1,1
Tennessee Tech,16,1
Utah,8,1
Indiana,9,1
Alabama,5,1
Green Bay,12,1
Maryland,4,1
Norfolk St,13,1
West Virginia,6,1
Columbia,11,0
Washington,11,0
North Carolina,3,1
Oregon St,14,1
Vanderbilt,7,1
Oregon,10,1
Duke,2,1
Lehigh,15,1
Texas,1,1
High Point,16,0
William & Mary,16,0
Illinois,8,1
Creighton,9,1
Tennessee,5,1
South Florida,12,1
Ohio State,4,1
Montana St,13,1
Michigan,6,1
Iowa State,11,0
Princeton,11,0
Notre Dame,3,1
SF Austin,14,1
Louisville,7,1
Nebraska,10,1
TCU,2,1
Fair Dickinson,15,1
